name,hp,atk,def,spa,spd,spe,weight,height,types,abilities,formats,isNonstandard,oob
Stratagem,90,60,65,120,70,130,45,0.9,['Rock'],"['Levitate', 'Technician', 'Sniper']",['CAP'],CAP,"{'dex_number': -11, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Arghonaut,105,110,95,70,100,75,151,1.7,"['Water', 'Fighting']","['Unaware', 'Technician']",['CAP'],CAP,"{'dex_number': -13, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Kitsunoh,80,103,85,55,80,110,51,1.1,"['Ghost', 'Steel']","['Frisk', 'Limber', 'Iron Fist']",['CAP'],CAP,"{'dex_number': -14, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Cyclohm,108,60,118,112,70,80,59,1.6,"['Electric', 'Dragon']","['Shield Dust', 'Static', 'Damp']",['CAP'],CAP,"{'dex_number': -15, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Colossoil,133,122,72,71,72,95,683.6,2.6,"['Ground', 'Dark']","['Rebound', 'Guts', 'Unnerve']",['CAP'],CAP,"{'dex_number': -16, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Krilowatt,151,84,73,83,74,105,10.6,0.7,"['Electric', 'Water']","['Trace', 'Magic Guard', 'Minus']",['CAP'],CAP,"{'dex_number': -17, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Voodoom,90,85,80,130,80,110,75.5,2,"['Fighting', 'Dark']","['Volt Absorb', 'Lightning Rod', 'Cursed Body']",['CAP'],CAP,"{'dex_number': -19, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Syclant,70,116,70,114,64,121,52,1.7,"['Ice', 'Bug']","['Compound Eyes', 'Mountaineer', 'Ice Body']",['CAP'],CAP,"{'dex_number': -2, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Tomohawk,105,60,90,115,80,85,37.2,1.27,"['Flying', 'Fighting']","['Intimidate', 'Prankster', 'Justified']",['CAP'],CAP,"{'dex_number': -21, 'evos': [], 'alts': [], 'genfamily': ['BW', 'XY', 'SM', 'SS', 'SV']}"
Necturna,64,120,100,85,120,58,49.6,1.65,"['Grass', 'Ghost']","['Forewarn', 'Telepathy']",['CAP'],CAP,"{'dex_number': -23, 'evos': [], 'alts': [], 'genfamily': ['BW', 'XY', 'SM', 'SS', 'SV']}"
Mollux,95,45,83,131,105,76,41,1.2,"['Fire', 'Poison']","['Dry Skin', 'Illuminate']",['CAP'],CAP,"{'dex_number': -24, 'evos': [], 'alts': [], 'genfamily': ['BW', 'XY', 'SM', 'SS', 'SV']}"
Aurumoth,110,120,99,117,60,94,193,2.1,"['Bug', 'Psychic']","['Weak Armor', 'No Guard', 'Light Metal']",['CAP'],CAP,"{'dex_number': -27, 'evos': [], 'alts': [], 'genfamily': ['BW', 'XY', 'SM', 'SS', 'SV']}"
Malaconda,115,100,60,40,130,55,108.8,5.5,"['Dark', 'Grass']","['Harvest', 'Infiltrator', 'Drought']",['CAP'],CAP,"{'dex_number': -29, 'evos': [], 'alts': [], 'genfamily': ['BW', 'XY', 'SM', 'SS', 'SV']}"
Revenankh,90,105,90,65,110,65,44,1.8,"['Ghost', 'Fighting']","['Air Lock', 'Triage', 'Shed Skin']",['CAP'],CAP,"{'dex_number': -3, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Cawmodore,50,92,130,65,75,118,37,1.7,"['Steel', 'Flying']","['Intimidate', 'Volt Absorb', 'Big Pecks']",['CAP'],CAP,"{'dex_number': -31, 'evos': [], 'alts': [], 'genfamily': ['BW', 'XY', 'SM', 'SS', 'SV']}"
Volkraken,100,45,80,135,100,95,44.5,1.3,"['Water', 'Fire']","['Analytic', 'Infiltrator', 'Pressure']",['CAP'],CAP,"{'dex_number': -33, 'evos': [], 'alts': [], 'genfamily': ['XY', 'SM', 'SS', 'SV']}"
Plasmanta,60,57,119,131,98,100,460,7,"['Electric', 'Poison']","['Storm Drain', 'Vital Spirit', 'Telepathy']",['CAP'],CAP,"{'dex_number': -35, 'evos': [], 'alts': [], 'genfamily': ['XY', 'SM', 'SS', 'SV']}"
Naviathan,103,110,90,95,65,97,510,3,"['Water', 'Steel']","['Guts', 'Heatproof', 'Light Metal']",['CAP'],CAP,"{'dex_number': -38, 'evos': [], 'alts': [], 'genfamily': ['XY', 'SM', 'SS', 'SV']}"
Crucibelle,106,105,65,75,85,104,23.6,1.3,"['Rock', 'Poison']","['Regenerator', 'Mold Breaker', 'Liquid Ooze']",['CAP'],CAP,"{'dex_number': -39, 'evos': [], 'alts': ['Crucibelle-Mega'], 'genfamily': ['XY', 'SM', 'SS', 'SV']}"
Kerfluffle,84,78,86,115,88,119,24.2,2.1,"['Fairy', 'Fighting']","['Natural Cure', 'Aroma Veil', 'Friend Guard']",['CAP'],CAP,"{'dex_number': -41, 'evos': [], 'alts': [], 'genfamily': ['XY', 'SM', 'SS', 'SV']}"
Pajantom,84,133,71,51,111,101,3.1,1.1,"['Dragon', 'Ghost']",['Comatose'],['CAP'],CAP,"{'dex_number': -42, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Jumbao,92,63,97,124,104,96,200,2.4,"['Grass', 'Fairy']","['Trace', 'Overcoat', 'Drought']",['CAP'],CAP,"{'dex_number': -44, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Caribolt,84,106,82,77,80,106,140,2.5,"['Grass', 'Electric']","['Overgrow', 'Galvanize']",['CAP'],CAP,"{'dex_number': -47, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Smokomodo,88,116,67,88,78,97,205,2.2,"['Fire', 'Ground']","['Blaze', 'Technician']",['CAP'],CAP,"{'dex_number': -50, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Snaelstrom,91,94,110,80,97,63,120,2,"['Water', 'Bug']","['Torrent', 'Poison Heal']",['CAP'],CAP,"{'dex_number': -53, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Equilibra,102,50,96,133,118,60,51.3,0.8,"['Steel', 'Ground']","['Levitate', 'Bulletproof', 'Justified']",['CAP'],CAP,"{'dex_number': -55, 'evos': [], 'alts': [], 'genfamily': ['SM', 'SS', 'SV']}"
Astrolotl,108,108,74,92,64,114,50,1.9,"['Fire', 'Dragon']","['Regenerator', 'Vital Spirit', 'Magician']",['CAP'],CAP,"{'dex_number': -57, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Miasmaw,85,135,60,88,105,99,57,1.2,"['Bug', 'Dragon']","['Neutralizing Gas', 'Hyper Cutter', 'Compound Eyes']",['CAP'],CAP,"{'dex_number': -59, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Pyroak,120,70,105,70,65,60,168,2.1,"['Fire', 'Grass']","['Rock Head', 'Battle Armor', 'Contrary']",['CAP'],CAP,"{'dex_number': -6, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Chromera,85,85,115,115,100,100,215,2.5,"['Dark', 'Normal']",['Color Change'],['CAP'],CAP,"{'dex_number': -60, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Venomicon,85,50,113,118,90,64,11.5,0.8,"['Poison', 'Flying']","['Stamina', 'Power of Alchemy']",['CAP'],CAP,"{'dex_number': -66, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Venomicon-Epilogue,85,102,85,62,85,101,12.4,0.8,"['Poison', 'Flying']",['Tinted Lens'],['CAP'],CAP,"{'dex_number': -66, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Saharaja,70,112,105,65,123,78,303.9,2.3,['Ground'],"['Water Absorb', 'Serene Grace', 'Sand Spit']",['CAP'],CAP,"{'dex_number': -68, 'evos': [], 'alts': [], 'genfamily': ['SS', 'SV']}"
Hemogoblin,90,96,87,96,89,55,85,1.4,"['Fairy', 'Fire']","['Pixilate', 'Intimidate', 'Own Tempo']",['CAP'],CAP,"{'dex_number': -71, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Cresceidon,80,32,111,88,99,124,999.9,10,"['Water', 'Fairy']","['Multiscale', 'Rough Skin', 'Water Veil']",['CAP'],CAP,"{'dex_number': -72, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Fidgit,95,76,109,90,80,105,53,0.9,"['Poison', 'Ground']","['Persistent', 'Vital Spirit', 'Frisk']",['CAP'],CAP,"{'dex_number': -8, 'evos': [], 'alts': [], 'genfamily': ['DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Bulbasaur,45,49,49,65,65,45,6.9,0.7,"['Grass', 'Poison']","['Overgrow', 'Chlorophyll']",['LC'],Standard,"{'dex_number': 1, 'evos': ['Ivysaur'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Caterpie,45,30,35,20,20,45,2.9,0.3,['Bug'],"['Shield Dust', 'Run Away']",['National Dex'],NatDex,"{'dex_number': 10, 'evos': ['Metapod'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Voltorb,40,30,50,55,55,100,10.4,0.5,['Electric'],"['Soundproof', 'Static', 'Aftermath']",['LC'],Standard,"{'dex_number': 100, 'evos': ['Electrode'], 'alts': [], 'genfamily': ['RB', 'GS', 'RS', 'DP', 'BW', 'XY', 'SM', 'SS', 'SV']}"
Voltorb-Hisui,40,30,50,55,55,100,13,0.5,"['Electric', 'Grass']","['Soundproof', 'Static', 'Aftermath']",['LC'],Standard,"{'dex_number': 100, 'evos': ['Electrode-Hisui'], 'alts': [], 'genfamily': ['SS', 'SV']}"
Gholdengo,87,60,95,133,91,84,30,1.2,"['Steel', 'Ghost']",['Good as Gold'],['OU'],Standard,"{'dex_number': 1000, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Wo-Chien,85,85,100,95,135,70,74.2,1.5,"['Dark', 'Grass']",['Tablets of Ruin'],['PU'],Standard,"{'dex_number': 1001, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Chien-Pao,80,120,80,90,65,135,152.2,1.9,"['Dark', 'Ice']",['Sword of Ruin'],['Uber'],Standard,"{'dex_number': 1002, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Ting-Lu,155,110,125,55,80,45,699.7,2.7,"['Dark', 'Ground']",['Vessel of Ruin'],['OU'],Standard,"{'dex_number': 1003, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Chi-Yu,55,80,80,135,120,100,4.9,0.4,"['Dark', 'Fire']",['Beads of Ruin'],['Uber'],Standard,"{'dex_number': 1004, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Roaring Moon,105,139,71,55,101,119,380,2,"['Dragon', 'Dark']",['Protosynthesis'],['OU'],Standard,"{'dex_number': 1005, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Iron Valiant,74,130,90,120,60,116,35,1.4,"['Fairy', 'Fighting']",['Quark Drive'],['OU'],Standard,"{'dex_number': 1006, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
Koraidon,100,135,115,85,100,135,303,2.5,"['Fighting', 'Dragon']",['Orichalcum Pulse'],['Uber'],Standard,"{'dex_number': 1007, 'evos': [], 'alts': [], 'genfamily': ['SV']}"
